#From	To
A2P2R3	YMR084W
P38724	YHL047C
P38725	YHL046C
P38726	YHL045W
P38727	YHL044W
P38728	YHL043W
P38729	YHL042W
P38730	YHL041W
P38731	YHL040C
P38732	YHL039W
P38734	YHL036W
P38735	YHL035C
P38736	YHL031C
P38737	YHL030W
P38738	YHL029C
P38739	YHL028W
P38740	YHL026C
P38741	YHL024W
P38742	YHL023C
P38744	YHL018W
P38745	YHL017W
P38746	YHL014C
P38747	YHL013C
P38748	YHL010C
P38749	YHL009C
P38750	YHL008C
P38751	YHL006C
P38752	YHL005C
P38753	YHL002W
P38754	YHL001W
P38755	YHR001W
P38756	YHR003C
P38757	YHR004C
P38758	YHR009C
P38759	YHR012W
P38760	YHR015W
P38763	YHR022C
P38764	YHR027C
P38765	YHR029C
P38766	YHR031C
P38767	YHR032W
P38768	YHR034C
P38769	YHR035W
P38770	YHR036W
P38771	YHR038W
P38772	YHR040W
P38773	YHR043C
P38774	YHR044C
P38775	YHR045W
P38776	YHR048W
P38777	YHR049W
P38778	YHR050W
P38779	YHR052W
P38780	YHR054C
P38781	YHR056C
P38782	YHR058C
P38783	YHR059W
P38784	YHR060W
P38785	YHR061C
P38786	YHR062C
P38787	YHR063C
P38788	YHR064C
P38789	YHR066W
P38790	YHR067W
P38791	YHR068W
P38792	YHR069C
P38793	YHR070W
P38794	YHR071W
P38795	YHR074W
P38796	YHR075C
P38797	YHR076W
P38798	YHR077C
P38799	YHR078W
P38800	YHR080C
P38801	YHR081W
P38803	YHR085W
P38804	YHR087W
P38805	YHR088W
P38806	YHR090C
P38809	YHR097C
P38810	YHR098C
P38811	YHR099W
P38812	YHR100C
P38813	YHR101C
P38814	YHR103W
P38815	YHR105W
P38816	YHR106W
P38817	YHR108W
P38818	YHR109W
P38819	YHR110W
P38820	YHR111W
P38821	YHR113W
P38822	YHR114W
P38823	YHR115C
P38824	YHR116W
P38825	YHR117W
P38826	YHR118C
P38827	YHR119W
P38828	YHR121W
P38829	YHR122W
P38830	YHR124W
P38831	YHR125W
P38832	YHR126C
P38833	YHR127W
P38834	YHR130C
P38835	YHR131C
P38836	YHR132C
P38837	YHR133C
P38838	YHR134W
P38839	YHR136C
P38840	YHR137W
P38841	YHR138C
P38842	YHR140W
P38843	YHR142W
P38844	YHR143W
P38845	YHR146W
P38848	YHR150W
P38849	YHR151C
P38850	YHR154W
P38851	YHR155W
P38852	YHR156C
P38853	YHR158C
P38854	YHR159W
P38855	YHR160C
P38856	YHR161C
P38857	YHR162W
P38858	YHR163W
P38859	YHR164C
P38860	YHR168W
P38861	YHR170W
P38862	YHR171W
P38863	YHR172W
P38864	YHR173C
P38865	YHR175W
P38866	YHR176W
P38867	YHR177W
P38868	YHR180W
P38869	YHR181W
P38870	YHR182W
P38871	YHR184W
P38872	YHR185C
P38873	YHR186C
P38874	YHR187W
P38875	YHR188C
P38876	YHR189W
P38877	YHR191C
P38878	YHR192W
P38879	YHR193C
P38880	YHR194W
P38881	YHR195W
P38882	YHR196W
P38883	YHR197W
P38884	YHR198C
P38885	YHR199C
P38886	YHR200W
P38887	YHR202W
P38888	YHR204W
P38889	YHR206W
P38890	YHR207C
P38891	YHR208W
P38892	YHR209W
P38893	YHR210C
P38894	YHR211W
P38898	YHR217C
P38899	YHR218W
P38900	YHR219W
P38902	YOL005C
P38903	YOR014W
P38904	YDR464W
P38907	YDR254W
P38909	YOR037W
P38910	YOR020C
P38911	YML074C
P38912	YMR260C
P38913	YDL045C
P38915	YLR055C
P38920	YMR167W
P38921	YNL003C
P38922	YNL004W
P38925	YOL122C
P38927	YIL139C
P38928	YIL140W
P38929	YGL006W
P38930	YOR039W
P38931	YDR443C
P38932	YGL095C
P38934	YOR198C
P38953	YDR076W
P38954	YDR072C
P38956	YDR073W
P38957	YDR078C
P38958	YDR079W
P38959	YDR080W
P38960	YDR082W
P38961	YDR083W
P38962	YDR084C
P38966	YDR089W
P38967	YOL020W
P38968	YDL195W
P38969	YOR266W
P38970	YJL165C
P38971	YNL270C
P38972	YGR061C
P38985	YDL092W
P38986	YDR321W
P38987	YML064C
P38988	YDL198C
P38989	YFR031C
P38990	YER129W
P38991	YPL209C
P38992	YDR297W
P38993	YMR058W
P38994	YDR208W
P38995	YDR270W
P38996	YPL190C
P38998	YIR034C
P38999	YNR050C
P39000	YER096W
P39001	YDR207C
P39002	YIL009W
P39003	YDR343C
P39004	YDR342C
P39005	YJL174W
P39006	YNL169C
P39007	YGL022W
P39008	YNR052C
P39009	YDL101C
P39010	YDR264C
P39011	YPL161C
P39012	YLR088W
P39013	YNL084C
P39014	YIL046W
P39015	YLR150W
P39016	YGL178W
P39073	YPL042C
P39076	YIL142W
P39077	YJL014W
P39078	YDL143W
P39079	YDR188W
P39081	YDR228C
P39083	YOR127W
P39101	YER048C
P39102	YLR090W
P39103	YML129C
P39104	YNL267W
P39105	YMR008C
P39106	YER001W
P39107	YPL050C
P39108	YDR142C
P39109	YDR135C
P39110	YMR138W
P39111	YGR020C
P39112	YMR287C
P39113	YMR280C
P39515	YJL143W
P39516	YJL191W
P39517	YDL160C
P39518	YER015W
P39520	YLR223C
P39521	YPR104C
P39522	YJR016C
P39523	YMR124W
P39524	YAL026C
P39525	YER061C
P39526	YJL207C
P39529	YJL206C
P39531	YJL204C
P39532	YJL202C
P39533	YJL200C
P39534	YJL199C
P39535	YJL198W
P39538	YJL197W
P39540	YJL196C
P39541	YJL195C
P39542	YJL193W
P39543	YJL192C
P39545	YAR020C
P39547	YAR027W
P39548	YAR028W
P39549	YAR029W
P39550	YAR030C
P39551	YAR031W
P39552	YAR033W
P39557	YAR047C
P39559	YAR053W
P39563	YAR064W
P39564	YAR068W
P39566	YAR070C
P39567	YAR073W
P39676	YGR234W
P39677	YJL102W
P39678	YDL056W
P39682	YML046W
P39683	YOR209C
P39684	YFR023W
P39685	YMR129W
P39692	YFR030W
P39702	YAL002W
P39703	YAL004W
P39704	YAL007C
P39705	YAR002W
P39706	YAR003W
P39707	YAR008W
P39708	YAL062W
P39709	YAL067C
P39710	YAL066W
P39711	YAL064W
P39712	YAL063C
P39713	YAL061W
P39714	YAL060W
P39715	YAL059W
P39717	YAL056W
P39718	YAL055W
P39719	YAL053W
P39720	YAL051W
P39721	YAL049C
P39722	YAL048C
P39723	YAL047C
P39724	YAL046C
P39725	YAL045C
P39726	YAL044C
P39727	YAL042W
P39728	YAL037W
P39729	YAL036C
P39730	YAL035W
P39731	YAL034W-A
P39732	YAL031C
P39734	YAL028W
P39735	YAL027W
P39742	YLR292C
P39743	YDR388W
P39744	YOR206W
P39875	YOR033C
P39904	YDR484W
P39923	YEL062W
P39924	YEL069C
P39925	YER017C
P39926	YMR183C
P39927	YGR156W
P39928	YIL147C
P39929	YLR025W
P39931	YLR250W
P39932	YDR536W
P39933	YPR186C
P39935	YGR162W
P39936	YGL049C
P39937	YER007W
P39938	YGL189C
P39939	YER131W
P39940	YER125W
P39943	YER028C
P39944	YER144C
P39945	YER101C
P39946	YOR269W
P39952	YER154W
P39953	YEL006W
P39954	YER043C
P39955	YER047C
P39956	YER169W
P39958	YER136W
P39959	YER130C
P39960	YER155C
P39961	YER184C
P39962	YER123W
P39965	YER087W
P39966	YER089C
P39967	YER098W
P39968	YEL013W
P39969	YER114C
P39970	YER045C
P39971	YEL076C
P39972	YEL075C
P39973	YEL074W
P39974	YEL073C
P39975	YEL072W
P39976	YEL071W
P39977	YEL068C
P39978	YEL067C
P39979	YEL066W
P39980	YEL065W
P39981	YEL064C
P39982	YEL059W
P39983	YEL057C
P39984	YEL056W
P39985	YEL055C
P39986	YEL031W
P39987	YEL030W
P39988	YEL029C
P39989	YEL028W
P39990	YEL026W
P39991	YEL025C
P39992	YEL023C
P39993	YEL022W
P39994	YEL020C
P39995	YEL018W
P39996	YEL017W
P39997	YEL016C
P39998	YEL015W
P39999	YEL014C
P40000	YEL010W
P40001	YEL008W
P40002	YEL007W
P40003	YEL005C
P40004	YEL004W
P40005	YEL003W
P40006	YEL001C
P40007	YER002W
P40008	YER004W
P40009	YER005W
P40010	YER006W
P40011	YER010C
P40012	YER014W
P40013	YER016W
P40014	YER018C
P40015	YER019W
P40016	YER021W
P40017	YER024W
P40018	YER029C
P40019	YER030W
P40020	YER032W
P40021	YER033C
P40022	YER034W
P40023	YER035W
P40024	YER036C
P40025	YER037W
P40026	YER038C
P40028	YER041W
P40029	YER042W
P40030	YER044C
P40031	YER046W
P40032	YER049W
P40033	YER050C
P40034	YER051W
P40035	YER053C
P40036	YER054C
P40037	YER057C
P40038	YER059W
P40039	YER060W
P40040	YER063W
P40041	YER064C
P40042	YER066W
P40043	YER067W
P40045	YER071C
P40046	YER072W
P40047	YER073W
P40048	YER075C
P40049	YER076C
P40050	YER077C
P40051	YER078C
P40052	YER079W
P40053	YER080W
P40054	YER081W
P40055	YER082C
P40056	YER083C
P40057	YER084W
P40058	YER085C
P40059	YER088C
P40060	YER092W
P40061	YER093C
P40062	YER097W
P40063	YER104W
P40064	YER105C
P40065	YER106W
P40066	YER107C
P40068	YER109C
P40069	YER110C
P40070	YER112W
P40071	YER113C
P40072	YER116C
P40073	YER118C
P40074	YER119C
P40075	YER120W
P40076	YER121W
P40077	YER124C
P40078	YER126C
P40079	YER127W
P40080	YER128W
P40081	YER134C
P40082	YER135C
P40083	YER137C
P40084	YER139C
P40085	YER140W
P40086	YER141W
P40087	YER143W
P40088	YER145C
P40089	YER146W
P40090	YER147C
P40091	YER149C
P40092	YER150W
P40093	YER156C
P40094	YER157W
P40095	YER158C
P40096	YER159C
P40097	YER181C
P40098	YER182W
P40099	YER183C
P40100	YER185W
P40101	YER186C
P40102	YER187W
P40103	YER188W
P40104	YER189W
P40105	YER190W
P40106	YER062C
P40107	YGL225W
P40150	YNL209W
P40151	YNL218W
P40152	YNL217W
P40154	YNL215W
P40155	YNL214W
P40156	YNL213C
P40157	YNL212W
P40159	YNL208W
P40160	YNL207W
P40161	YNL206C
P40162	YNL205C
P40163	YNL203C
P40164	YNL201C
P40165	YNL200C
P40166	YNL198C
P40167	YNL196C
P40168	YNL195C
P40169	YNL194C
P40185	YIL051C
P40186	YIL050W
P40187	YIL045W
P40188	YIL057C
P40202	YMR038C
P40204	YFL017W-A
P40206	YMR132C
P40207	YMR134W
P40208	YMR135C
P40209	YMR136W
P40210	YMR140W
P40211	YMR141C
P40212	YMR142C
P40214	YMR144W
P40215	YMR145C
P40217	YMR146C
P40218	YMR147W
P40219	YMR148W
P40260	YGR121C
P40302	YMR314W
P40303	YOL038W
P40308	YMR313C
P40309	YJL094C
P40310	YJL093C
P40312	YNL111C
P40314	YDR252W
P40316	YDR113C
P40317	YDR006C
P40318	YIL030C
P40319	YLR372W
P40323	YPL073C
P40325	YGR268C
P40326	YGR269W
P40327	YDL007W
P40328	YPL074W
P40335	YJL053W
P40339	YOL094C
P40340	YGR270W
P40341	YMR089C
P40342	YNR004W
P40343	YNR006W
P40344	YNR007C
P40345	YNR008W
P40347	YPR073C
P40348	YJR068W
P40350	YPL227C
P40351	YOR067C
P40352	YJR035W
P40353	YOR377W
P40354	YJR062C
P40355	YJR061W
P40356	YGL025C
P40357	YGR009C
P40358	YJL073W
P40359	YJL072C
P40360	YJL071W
P40361	YJL070C
P40362	YJL069C
P40363	YJL068C
P40364	YJL066C
P40365	YJL067W
P40366	YJL065C
P40367	YJL062W
P40368	YJL061W
P40395	YLR039C
P40413	YJR064W
P40414	YIL138C
P40416	YMR301C
P40422	YHR143W-A
P40433	YIL107C
P40434	YIL177C
P40438	YIL173W
P40442	YIL169C
P40445	YIL166C
P40446	YIL165C
P40447	YIL164C
P40448	YIL163C
P40449	YIL161W
P40450	YIL159W
P40451	YIL158W
P40452	YIL157C
P40453	YIL156W
P40454	YIL153W
P40455	YIL152W
P40456	YIL151C
P40457	YIL149C
P40458	YIL146C
P40459	YIL145C
P40460	YIL144W
P40461	YIL141W
P40462	YIL137C
P40463	YIL135C
P40464	YIL134W
P40465	YIL132C
P40466	YIL131C
P40467	YIL130W
P40468	YIL129C
P40469	YIL128W
P40470	YIL127C
P40471	YIL124W
P40472	YIL123W
P40473	YIL122W
P40474	YIL121W
P40475	YIL120W
P40476	YIL117C
P40477	YIL115C
P40478	YIL114C
P40479	YIL113W
P40480	YIL112W
P40481	YIL110W
P40482	YIL109C
P40483	YIL108W
P40484	YIL106W
P40485	YIL105C
P40486	YIL104C
P40487	YIL103W
P40488	YIL102C
P40489	YIL101C
P40490	YIL100W
P40491	YIL098C
P40492	YIL097W
P40493	YIL096C
P40494	YIL095W
P40495	YIL094C
P40496	YIL093C
P40497	YIL092W
P40498	YIL091C
P40499	YIL090W
P40500	YIL089W
P40501	YIL088C
P40502	YIL087C
P40503	YIL086C
P40504	YIL085C
P40505	YIL084C
P40506	YIL083C
P40507	YIL079C
P40508	YIL077C
P40509	YIL076W
P40510	YIL074C
P40511	YIL073C
P40512	YIL071C
P40513	YIL070C
P40514	YIL067C
P40515	YIL065C
P40516	YIL064W
P40517	YIL063C
P40518	YIL062C
P40519	YIL060W
P40520	YIL059C
P40521	YIL058W
P40522	YIL056W
P40523	YIL055C
P40524	YIL054W
P40525	YIL052C
P40526	YIL049W
P40527	YIL048W
P40528	YIL047C
P40529	YIL044C
P40530	YIL042C
P40531	YIL041W
P40532	YIL040W
P40533	YIL039W
P40534	YIL037C
P40535	YIL036W
P40536	YIL032C
P40537	YIL031W
P40538	YIL029C
P40539	YIL028W
P40540	YIL027C
P40541	YIL026C
P40542	YIL025C
P40543	YIL024C
P40544	YIL023C
P40545	YIL020C
P40546	YIL019W
P40547	YIL017C
P40548	YIL016W
P40549	YIL014W
P40550	YIL013C
P40552	YIL011W
P40553	YIL010W
P40554	YIL008W
P40555	YIL007C
P40556	YIL006W
P40557	YIL005W
P40558	YIL003W
P40559	YIL002C
P40560	YIL001W
P40561	YIR001C
P40562	YIR002C
P40563	YIR003W
P40564	YIR004W
P40565	YIR005W
P40566	YIR007W
P40567	YIR009W
P40568	YIR010W
P40569	YIR013C
P40570	YIR014W
P40571	YIR015W
P40572	YIR016W
P40573	YIR017C
P40574	YIR018W
P40575	YIR020C
P40576	YIR024C
P40577	YIR025W
P40578	YIR033W
P40579	YIR035C
P40580	YIR036C
P40581	YIR037W
P40582	YIR038C
P40583	YIR039C
P40584	YIR040C
P40585	YIR041W
P40586	YIR042C
P40693	YNL002C
P40850	YNL085W
P40851	YPR122W
P40856	YJL098W
P40857	YJL097W
P40858	YJL096W
P40884	YJL216C
P40885	YJL219W
P40886	YJL214W
P40889	YJL225C
P40890	YJL222W
P40891	YIL171W-A
P40891	YJL220W
P40892	YJL218W
P40893	YJL217W
P40895	YJL215C
P40896	YJL213W
P40897	YJL212C
P40898	YJL211C
P40917	YOR028C
P40955	YJL099W
P40956	YGL181W
P40957	YGL086W
P40958	YJL030W
P40959	YMR004W
P40960	YDR488C
P40961	YGR132C
P40962	YOR077W
P40963	YMR127C
P40965	YFL003C
P40968	YDR364C
P40969	YMR168C
P40970	YDR062W
P40971	YDR034C
P40975	YEL017C-A
P40985	YJR036C
P40986	YDR182W
P40987	YOR349W
P40988	YMR319C
P40989	YGR032W
P40990	YDL107W
P40991	YNL061W
P40992	YJL025W
P40993	YDR478W
P40994	YOR094W
P41056	YOR234C
P41057	YLR388W
P41058	YDL061C
P41277	YIL053W
P41318	YNL006W
P41338	YPL028W
P41543	YJL002C
P41544	YJL004C
P41546	YFL031W
P41695	YGR188C
P41696	YOR113W
P41697	YLR319C
P41698	YLR353W
P41733	YLR459W
P41734	YOR126C
P41735	YOR125C
P41800	YLL006W
P41805	YLR075W
P41806	YGR105W
P41807	YPR036W
P41808	YPR054W
P41809	YDR420W
P41810	YDR238C
P41811	YGL137W
P41812	YNL221C
P41813	YNL068C
P41814	YNL062C
P41815	YDR046C
P41816	YPL171C
P41817	YPL177C
P41818	YMR311C
P41819	YPL266W
P41821	YNL291C
P41832	YNL271C
P41833	YGL192W
P41834	YOR075W
P41835	YPL214C
P41895	YGR186W
P41896	YGR005C
P41901	YGR059W
P41902	YOR031W
P41903	YJR019C
P41909	YPL147W
P41910	YDR005C
P41911	YOL059W
P41912	YOL110W
P41913	YOR355W
P41920	YDR002W
P41921	YPL091W
P41930	YPL092W
P41939	YLR174W
P41940	YDL055C
P41948	YNL142W
P42073	YDR195W
P42222	YMR323W
P42223	YDR351W
P42826	YGR194C
P42833	YNL318C
P42834	YNL328C
P42835	YNL327W
P42836	YNL326C
P42837	YNL325C
P42838	YNL323W
P42839	YNL321W
P42840	YNL320W
P42841	YNL317W
P42842	YNL313C
P42843	YNL311C
P42844	YNL310C
P42845	YNL309W
P42846	YNL308C
P42847	YNL306W
P42883	YNL332W
P42884	YNL331C
P42900	YLR139C
P42933	YMR191W
P42934	YGR199W
P42935	YGR200C
P42936	YGR201C
P42937	YGR203W
P42938	YGR205W
P42939	YGR206W
P42940	YGR207C
P42941	YGR208W
P42942	YGR210C
P42943	YJL111W
P42944	YJL110C
P42945	YJL109C
P42946	YJL108C
P42947	YJL107C
P42948	YJL105W
P42949	YJL104W
P42950	YJL103C
P42951	YJL100W
P43122	YDL104C
P43123	YDL103C
P43124	YDL105W
P43132	YLR015W
P43321	YLR147C
P43497	YKL096W-A
P43534	YFL058W
P43535	YFR009W
P43537	YFL067W
P43538	YFL066C
P43539	YFL065C
P43540	YFL064C
P43541	YFL063W
P43542	YFL062W
P43544	YFL060C
P43545	YFL059W
P43546	YFL057C
P43547	YFL056C
P43548	YFL055W
P43549	YFL054C
P43550	YFL053W
P43551	YFL052W
P43552	YFL051C
P43553	YFL050C
P43554	YFL049W
P43555	YFL048C
P43556	YFL047W
P43557	YFL046W
P43558	YFL044C
P43560	YFL042C
P43561	YFL041W
P43562	YFL040W
P43563	YFL034C-B
P43564	YFL034W
P43565	YFL033C
P43566	YFL032W
P43567	YFL030W
P43568	YFL029C
P43569	YFL028C
P43570	YFL027C
P43571	YFL025C
P43572	YFL024C
P43573	YFL023W
P43574	YFL021W
P43575	YFL020C
P43576	YFL019C
P43577	YFL017C
P43578	YFL015C
P43579	YFL013C
P43580	YFL012W
P43581	YFL011W
P43582	YFL010C
P43583	YFL007W
P43585	YFL004W
P43586	YFR001W
P43587	YFR003C
P43588	YFR004W
P43589	YFR005C
P43590	YFR006W
P43591	YFR007W
P43592	YFR008W
P43593	YFR010W
P43594	YFR011C
P43595	YFR012W
P43596	YFR013W
P43597	YFR016C
P43598	YFR017C
P43599	YFR018C
P43600	YFR020W
P43601	YFR021W
P43602	YFR022W
P43603	YFR024C-A
P43604	YFR026C
P43605	YFR027W
P43606	YFR029W
P43607	YFR032C
P43608	YFR035C
P43609	YFR037C
P43610	YFR038W
P43611	YFR039C
P43612	YFR040W
P43613	YFR041C
P43614	YFR042W
P43615	YFR043C
P43616	YFR044C
P43617	YFR045W
P43618	YFR046C
P43619	YFR047C
P43620	YFR048W
P43621	YFR051C
P43622	YFR054C
P43623	YFR055W
P43624	YFR056C
P43625	YFR057W
P43633	YGL021W
P43634	YLR098C
P43635	YPR001W
P43636	YGL065C
P43637	YGL179C
P43638	YJL042W
P43639	YGL019W
P43682	YKL006C-A
P45818	YGL171W
P45819	YGL170C
P45820	YGL168W
P45976	YJR093C
P45978	YPR129W
P46151	YPL023C
P46367	YOR374W
P46654	YLR048W
P46655	YGL245W
P46669	YOR340C
P46670	YPL241C
P46671	YMR052W
P46672	YGL105W
P46673	YJR042W
P46674	YDR159W
P46675	YLR045C
P46676	YDR310C
P46677	YGR274C
P46678	YNL039W
P46679	YMR053C
P46680	YMR092C
P46681	YDL178W
P46682	YGR261C
P46683	YPL239W
P46784	YMR230W
P46943	YLR289W
P46944	YDR108W
P46945	YGL176C
P46946	YGL175C
P46947	YGL174W
P46948	YGR195W
P46949	YGR196C
P46950	YGR197C
P46951	YGR198W
P46954	YJL089W
P46955	YJL116C
P46956	YJL117W
P46957	YJR006W
P46958	YJL146W
P46959	YJL125C
P46961	YPL076W
P46962	YJL006C
P46963	YML112W
P46964	YOR103C
P46965	YJR010C-A
P46969	YJL121C
P46970	YJR132W
P46971	YJR143C
P46972	YMR035W
P46973	YJR055W
P46974	YJR127C
P46982	YJL186W
P46983	YJL185C
P46984	YJL184W
P46985	YJL183W
P46986	YJL182C
P46987	YJL181W
P46988	YJL179W
P46989	YJL178C
P46990	YJL177W
P46991	YJL175W
P46992	YJL171C
P46993	YJL170C
P46995	YJL168C
P46996	YJL163C
P46997	YJL162C
P46998	YJL161W
P46999	YJL160C
P47001	YJL158C
P47002	YJL156C
P47003	YJL152W
P47004	YJL150W
P47005	YJL149W
P47006	YJL148W
P47007	YJL147C
P47008	YJL145W
P47009	YJL144W
P47010	YJL142C
P47011	YJL137C
P47012	YJL135W
P47013	YJL134W
P47014	YJL132W
P47015	YJL131C
P47016	YJL126W
P47017	YJL124C
P47018	YJL123C
P47019	YJL122W
P47020	YJL120W
P47021	YJL119C
P47022	YJL118W
P47025	YJL112W
P47026	YJL091C
P47027	YJL090C
P47028	YJL086C
P47029	YJL084C
P47030	YJL083W
P47031	YJL082W
P47032	YJL079C
P47033	YJL078C
P47034	YJL077C
P47035	YJL076W
P47036	YJL075C
P47037	YJL074C
P47038	YJL064W
P47039	YJL060W
P47040	YJL059W
P47041	YJL058C
P47042	YJL057C
P47043	YJL056C
P47044	YJL055W
P47045	YJL054W
P47046	YJL051W
P47047	YJL050W
P47048	YJL049W
P47049	YJL048C
P47050	YJL047C
P47051	YJL046W
P47052	YJL045W
P47053	YJL043W
P47054	YJL039C
P47055	YJL038C
P47056	YJL037W
P47057	YJL036W
P47058	YJL035C
P47059	YJL032W
P47061	YJL029C
P47062	YJL028W
P47063	YJL027C
P47064	YJL024C
P47065	YJL023C
P47066	YJL022W
P47068	YJL020C
P47069	YJL019W
P47072	YJL016W
P47074	YJL013C
P47075	YJL012C
P47076	YJL011C
P47077	YJL010C
P47078	YJL009W
P47079	YJL008C
P47080	YJL007C
P47081	YJL003W
P47082	YJR001W
P47083	YJR002W
P47084	YJR003C
P47085	YJR008W
P47086	YJR011C
P47087	YJR012C
P47088	YJR013W
P47089	YJR014W
P47090	YJR015W
P47091	YJR018W
P47092	YJR020W
P47093	YJR022W
P47094	YJR023C
P47095	YJR024C
P47096	YJR025C
P47098	YJR027W
P47099	YJR028W
P47100	YJR029W
P47101	YJR030C
P47102	YJR031C
P47103	YJR032W
P47104	YJR033C
P47105	YJR037W
P47106	YJR038C
P47107	YJR039W
P47108	YJR041C
P47110	YJR043C
P47111	YJR044C
P47112	YJR046W
P47113	YJR053W
P47114	YJR054W
P47115	YJR056C
P47116	YJR059W
P47117	YJR065C
P47118	YJR067C
P47119	YJR069C
P47120	YJR070C
P47121	YJR071W
P47122	YJR072C
P47123	YJR074W
P47124	YJR075W
P47125	YJR078W
P47126	YJR079W
P47127	YJR080C
P47128	YJR082C
P47129	YJR083C
P47130	YJR084W
P47131	YJR085C
P47132	YJR087W
P47133	YJR088C
P47134	YJR089W
P47135	YJR091C
P47136	YJR092W
P47137	YJR096W
P47138	YJR097W
P47139	YJR098C
P47140	YJR100C
P47141	YJR101W
P47142	YJR102C
P47143	YJR105W
P47144	YJR106W
P47145	YJR107W
P47146	YJR108W
P47147	YJR110W
P47148	YJR111C
P47149	YJR112W
P47150	YJR113C
P47151	YJR114W
P47152	YJR115W
P47153	YJR116W
P47154	YJR117W
P47155	YJR118C
P47156	YJR119C
P47157	YJR120W
P47158	YJR122W
P47159	YJR124C
P47160	YJR125C
P47161	YJR126C
P47162	YJR128W
P47163	YJR129C
P47164	YJR130C
P47165	YJR133W
P47166	YJR134C
P47167	YJR135C
P47168	YJR136C
P47169	YJR137C
P47170	YJR138W
P47171	YJR140C
P47172	YJR141W
P47173	YJR142W
P47174	YJR146W
P47175	YJR147W
P47176	YJR148W
P47177	YJR149W
P47178	YJR150C
P47179	YJR151C
P47180	YJR153W
P47181	YJR154W
P47182	YJR155W
P47183	YJR156C
P47184	YJR157W
P47185	YJR158W
P47187	YJR161C
P47188	YJR162C
P47190	YOR321W
P47771	YMR170C
P47818	YLR220W
P47821	YNL025C
P47822	YDR308C
P47912	YMR246W
P47976	YDR151C
P47977	YLR136C
P47988	YOR337W
P48015	YDR019C
P48016	YPR026W
P48164	YNL096C
P48231	YNL087W
P48232	YNL086W
P48234	YGR145W
P48235	YGR146C
P48236	YGR149W
P48237	YGR150C
P48238	YGR153W
P48239	YGR154C
P48240	YGR158C
P48353	YMR161W
P48360	YDR376W
P48361	YGR097W
P48362	YGR187C
P48363	YGR078C
P48365	YDL234C
P48412	YGR072W
P48415	YPL085W
P48439	YOR085W
P48445	YDL141W
P48510	YMR276W
P48524	YMR275C
P48525	YOL033W
P48526	YPL040C
P48527	YPL097W
P48558	YNL305C
P48559	YNL304W
P48560	YNL300W
P48561	YNL299W
P48562	YNL298W
P48563	YNL297C
P48564	YNL295W
P48565	YNL294C
P48566	YNL293W
P48567	YNL292W
P48568	YDL186W
P48569	YDL183C
P48570	YDL182W
P48581	YOR368W
P48582	YPL084W
P48589	YOR369C
P48606	YOR265W
P48743	YLR176C
P48813	YDR508C
P48836	YHR039C-A
P48837	YGR119C
P49017	YML110C
P49018	YDR331W
P49089	YPR145W
P49090	YGR124W
P49095	YMR189W
P49166	YLR185W
P49167	YLR325C
P49334	YNL131W
P49367	YDR234W
P49435	YML022W
P49573	YPR124W
P49626	YDR012W
P49686	YDR192C
P49687	YGL092W
P49704	YGR091W
P49723	YGR180C
P49954	YLR351C
P49955	YMR288W
P49956	YMR078C
P49957	YML014W
P49960	YMR268C
P50076	YGR227W
P50077	YGR217W
P50078	YGR221C
P50079	YGR223C
P50080	YGR224W
P50082	YGR225W
P50083	YGR226C
P50084	YGR230W
P50085	YGR231C
P50086	YGR232W
P50087	YGR235C
P50088	YGR236C
P50089	YGR237C
P50090	YGR238C
P50091	YGR239C
P50094	YML056C
P50095	YLR432W
P50101	YMR304W
P50102	YMR223W
P50104	YMR019W
P50105	YMR005W
P50106	YDR156W
P50107	YML004C
P50108	YDR245W
P50109	YML017W
P50110	YMR060C
P50111	YMR273C
P50112	YDL049C
P50113	YGL154C
P50263	YMR175W
P50264	YMR020W
P50273	YDR350C
P50275	YOR058C
P50276	YGR055W
P50277	YNR058W
P50278	YNR034W
P50623	YDL064W
P50861	YOL143C
P50873	YDL079C
P50874	YNL261W
P50875	YOL148C
P50896	YDR505C
P50942	YNL106C
P50943	YNL105W
P50944	YNL101W
P50945	YNL100W
P50946	YNL099C
P50947	YNL097C
P51401	YNL067W
P51402	YDR500C
P51533	YOR328W
P51534	YOR035C
P51601	YGR267C
P51862	YLR371W
P51979	YGL251C
P51996	YGL210W
P51998	YML025C
P52286	YDR328C
P52290	YDL024C
P52488	YDR390C
P52489	YOR347C
P52490	YDR092W
P52491	YLR306W
P52492	YOR339C
P52553	YLR200W
P52593	YML103C
P52867	YDL093W
P52868	YGL128C
P52870	YER087C-B
P52871	YER019C-A
P52891	YDL116W
P52892	YDR111C
P52893	YLR089C
P52910	YLR153C
P52911	YDR261C
P52917	YPR173C
P52918	YDR335W
P52919	YLR457C
P52920	YGL091C
P52923	YNR074C
P52924	YNR075W
P52960	YOR363C
P53008	YGL027C
P53009	YGL083W
P53010	YGL094C
P53011	YGL100W
P53012	YGL126W
P53032	YGL162W
P53035	YGL209W
P53036	YGL229C
P53037	YGR170W
P53038	YGR099W
P53039	YGR172C
P53040	YGL112C
P53043	YGR123C
P53044	YGR048W
P53045	YGR060W
P53046	YGR070W
P53047	YGR213C
P53048	YGR289C
P53049	YGR281W
P53050	YGR249W
P53051	YGR287C
P53053	YGL263W
P53054	YGL262W
P53056	YGL260W
P53057	YGL259W
P53058	YGL258W
P53059	YGL257C
